,Entity,Code,Year,Freedom of the Press Status
36,Afghanistan,AFG,2017,2500
74,Albania,ALB,2017,2500
112,Algeria,DZA,2017,1500
128,Andorra,AND,2017,3500
166,Angola,AGO,2017,1500
202,Antigua and Barbuda,ATG,2017,2500
240,Argentina,ARG,2017,2500
266,Armenia,ARM,2017,1500
304,Australia,AUS,2017,3500
342,Austria,AUT,2017,3500
368,Azerbaijan,AZE,2017,1500
406,Bahamas,BHS,2017,3500
444,Bahrain,BHR,2017,1500
482,Bangladesh,BGD,2017,1500
520,Barbados,BRB,2017,3500
546,Belarus,BLR,2017,1500
584,Belgium,BEL,2017,3500
620,Belize,BLZ,2017,3500
658,Benin,BEN,2017,2500
696,Bhutan,BTN,2017,2500
734,Bolivia,BOL,2017,2500
760,Bosnia and Herzegovina,BIH,2017,2500
798,Botswana,BWA,2017,2500
836,Brazil,BRA,2017,2500
870,Brunei,BRN,2017,1500
908,Bulgaria,BGR,2017,2500
946,Burkina Faso,BFA,2017,2500
984,Burundi,BDI,2017,1500
1022,Cambodia,KHM,2017,1500
1060,Cameroon,CMR,2017,1500
1098,Canada,CAN,2017,3500
1136,Cape Verde,CPV,2017,3500
1174,Central African Republic,CAF,2017,1500
1212,Chad,TCD,2017,1500
1250,Chile,CHL,2017,3500
1288,China,CHN,2017,1500
1326,Colombia,COL,2017,2500
1351,Comoros,COM,2017,2500
1389,Congo,COG,2017,2500
1427,Costa Rica,CRI,2017,3500
1465,Cote d'Ivoire,CIV,2017,2500
1491,Croatia,HRV,2017,2500
1529,Cuba,CUB,2017,1500
1567,Cyprus,CYP,2017,3500
1592,Czechia,CZE,2017,3500
1643,Democratic Republic of Congo,COD,2017,1500
1681,Denmark,DNK,2017,3500
1706,Djibouti,DJI,2017,1500
1744,Dominica,DMA,2017,3500
1782,Dominican Republic,DOM,2017,2500
1830,Ecuador,ECU,2017,1500
1868,Egypt,EGY,2017,1500
1906,El Salvador,SLV,2017,2500
1944,Equatorial Guinea,GNQ,2017,1500
1969,Eritrea,ERI,2017,1500
1996,Estonia,EST,2017,3500
2034,Eswatini,SWZ,2017,1500
2072,Ethiopia,ETH,2017,1500
2110,Fiji,FJI,2017,2500
2148,Finland,FIN,2017,3500
2186,France,FRA,2017,3500
2224,Gabon,GAB,2017,1500
2262,Gambia,GMB,2017,1500
2288,Georgia,GEO,2017,2500
2316,Germany,DEU,2017,3500
2354,Ghana,GHA,2017,2500
2392,Greece,GRC,2017,2500
2430,Grenada,GRD,2017,3500
2468,Guatemala,GTM,2017,2500
2506,Guinea,GIN,2017,1500
2544,Guinea-Bissau,GNB,2017,2500
2582,Guyana,GUY,2017,2500
2620,Haiti,HTI,2017,2500
2658,Honduras,HND,2017,1500
2676,Hong Kong,HKG,2017,2500
2714,Hungary,HUN,2017,2500
2752,Iceland,ISL,2017,3500
2790,India,IND,2017,2500
2828,Indonesia,IDN,2017,2500
2866,Iran,IRN,2017,1500
2904,Iraq,IRQ,2017,1500
2942,Ireland,IRL,2017,3500
2980,Israel,ISR,2017,2500
3018,Italy,ITA,2017,2500
3056,Jamaica,JAM,2017,3500
3094,Japan,JPN,2017,3500
3132,Jordan,JOR,2017,1500
3158,Kazakhstan,KAZ,2017,1500
3196,Kenya,KEN,2017,2500
3221,Kiribati,KIR,2017,3500
3231,Kosovo,OWID_KOS,2017,2500
3269,Kuwait,KWT,2017,2500
3295,Kyrgyzstan,KGZ,2017,1500
3333,Laos,LAO,2017,1500
3360,Latvia,LVA,2017,3500
3398,Lebanon,LBN,2017,2500
3436,Lesotho,LSO,2017,2500
3474,Liberia,LBR,2017,2500
3512,Libya,LBY,2017,1500
3528,Liechtenstein,LIE,2017,3500
3555,Lithuania,LTU,2017,3500
3593,Luxembourg,LUX,2017,3500
3631,Madagascar,MDG,2017,2500
3669,Malawi,MWI,2017,2500
3707,Malaysia,MYS,2017,1500
3745,Maldives,MDV,2017,1500
3783,Mali,MLI,2017,2500
3821,Malta,MLT,2017,3500
3846,Marshall Islands,MHL,2017,3500
3884,Mauritania,MRT,2017,2500
3922,Mauritius,MUS,2017,3500
3960,Mexico,MEX,2017,1500
3985,Micronesia (region),,2017,3500
4011,Moldova,MDA,2017,2500
4027,Monaco,MCO,2017,3500
4065,Mongolia,MNG,2017,2500
4090,Montenegro,MNE,2017,2500
4128,Morocco,MAR,2017,1500
4166,Mozambique,MOZ,2017,2500
4204,Myanmar,MMR,2017,1500
4231,Namibia,NAM,2017,2500
4269,Nauru,NRU,2017,2500
4307,Nepal,NPL,2017,2500
4345,Netherlands,NLD,2017,3500
4383,New Zealand,NZL,2017,3500
4421,Nicaragua,NIC,2017,2500
4459,Niger,NER,2017,2500
4497,Nigeria,NGA,2017,2500
4535,North Korea,PRK,2017,1500
4560,North Macedonia,MKD,2017,1500
4598,Norway,NOR,2017,3500
4636,Oman,OMN,2017,1500
4674,Pakistan,PAK,2017,1500
4690,Palau,PLW,2017,3500
4715,Palestine,PSE,2017,1500
4753,Panama,PAN,2017,2500
4791,Papua New Guinea,PNG,2017,3500
4829,Paraguay,PRY,2017,2500
4867,Peru,PER,2017,2500
4905,Philippines,PHL,2017,2500
4943,Poland,POL,2017,2500
4981,Portugal,PRT,2017,3500
5019,Qatar,QAT,2017,1500
5057,Romania,ROU,2017,2500
5095,Russia,RUS,2017,1500
5122,Rwanda,RWA,2017,1500
5156,Saint Kitts and Nevis,KNA,2017,3500
5194,Saint Lucia,LCA,2017,3500
5232,Saint Vincent and the Grenadines,VCT,2017,3500
5257,Samoa,WSM,2017,3500
5273,San Marino,SMR,2017,3500
5311,Sao Tome and Principe,STP,2017,3500
5349,Saudi Arabia,SAU,2017,1500
5387,Senegal,SEN,2017,2500
5399,Serbia,SRB,2017,2500
5437,Seychelles,SYC,2017,2500
5475,Sierra Leone,SLE,2017,2500
5513,Singapore,SGP,2017,1500
5538,Slovakia,SVK,2017,3500
5564,Slovenia,SVN,2017,3500
5589,Solomon Islands,SLB,2017,3500
5627,Somalia,SOM,2017,1500
5665,South Africa,ZAF,2017,2500
5703,South Korea,KOR,2017,2500
5710,South Sudan,SSD,2017,1500
5748,Spain,ESP,2017,3500
5786,Sri Lanka,LKA,2017,1500
5824,Sudan,SDN,2017,1500
5862,Suriname,SUR,2017,3500
5900,Sweden,SWE,2017,3500
5938,Switzerland,CHE,2017,3500
5976,Syria,SYR,2017,1500
6014,Taiwan,TWN,2017,3500
6040,Tajikistan,TJK,2017,1500
6078,Tanzania,TZA,2017,2500
6116,Thailand,THA,2017,1500
6134,Timor,TLS,2017,2500
6172,Togo,TGO,2017,2500
6210,Tonga,TON,2017,3500
6248,Trinidad and Tobago,TTO,2017,3500
6286,Tunisia,TUN,2017,2500
6324,Turkey,TUR,2017,1500
6350,Turkmenistan,TKM,2017,1500
6366,Tuvalu,TUV,2017,3500
6404,Uganda,UGA,2017,2500
6430,Ukraine,UKR,2017,2500
6468,United Arab Emirates,ARE,2017,1500
6506,United Kingdom,GBR,2017,3500
6544,United States,USA,2017,3500
6582,Uruguay,URY,2017,3500
6608,Uzbekistan,UZB,2017,1500
6642,Vanuatu,VUT,2017,3500
6680,Venezuela,VEN,2017,1500
6718,Vietnam,VNM,2017,1500
6756,Yemen,YEM,2017,1500
6827,Zambia,ZMB,2017,1500
6865,Zimbabwe,ZWE,2017,1500
